Arena,School,City,State,Conference,Capacity,Opened,Wins,Losses,Conference Wins,Conference Losses,PPG_Scored,PPG_Allowed,Simple Rating System,Strength of Schedule,NCAA Tourney,Home Games,Total Attendance,Average Attendance,FTE
Municipal Auditorium,University of Missouri-Kansas City,Kansas City,MO,WAC,9987,1936,10,22,5,9,68.2,77.4,-10.19,-1.02,0,14,16951,1210.786,9692
Pan American Center,New Mexico State University-Main Campus,Las Cruces,NM,WAC,12482,1968,28,6,12,2,75.4,65.2,9.06,-1.1,1,15,79409,5293.933,11175
UTRGV Fieldhouse,The University of Texas Rio Grande Valley,Edinburg,TX,WAC,2500,1969,15,18,6,8,74.5,79.3,-7.71,-2.84,0,16,13522,845.125,19860
UCCU Center,Utah Valley University,Orem,UT,WAC,8500,1996,23,11,10,4,76.5,69.6,5.08,-1.76,0,17,58027,3413.353,18543
Redhawk Center,Seattle University,Seattle,WA,WAC,999,1959,20,14,8,6,73.6,72.8,-2.32,-3.09,0,19,26313,1384.895,5727
Gersten Pavilion,Loyola Marymount University,Los Angeles,CA,West Coast,4156,1981,11,20,5,13,71.3,76.8,-4.38,1.09,0,14,17343,1238.786,8413
Firestone Fieldhouse,Pepperdine University,Malibu,CA,West Coast,3104,1973,6,26,2,16,70.2,78.5,-6.51,1.82,0,16,18498,1156.125,5728
McKeon Pavilion,Saint Mary's College of California,Moraga,CA,West Coast,3500,1978,30,6,16,2,77,64.5,12.86,0.33,0,20,59686,2984.3,3213
Jenny Craig Pavilion,University of San Diego,San Diego,CA,West Coast,5100,2000,20,14,9,9,69.4,67.1,2.86,0.49,0,19,34531,1817.421,7319
War Memorial Gymnasium,University of San Francisco,San Francisco,CA,West Coast,5300,1958,22,17,9,9,68.6,69.1,1.13,1.63,0,22,37834,1719.727,10065
Leavey Center,Santa Clara University,Santa Clara,CA,West Coast,4500,1975,11,20,8,10,64,71.6,-7.01,0.61,0,17,35733,2101.941,7383
Alex G. Spanos Center,University of the Pacific,Stockton,CA,West Coast,6150,1981,14,18,9,9,70.2,72.5,-0.55,1.8,0,16,32914,2057.125,5420
Chiles Center,University of Portland,Portland,OR,West Coast,4852,1984,10,22,4,14,66.7,75.7,-6.61,2.43,0,16,35134,2195.875,3909
Marriott Center,Brigham Young University-Provo,Provo,UT,West Coast,19000,1971,24,11,11,7,74.3,67.8,8.04,1.53,0,16,227692,14230.75,30037
McCarthey Athletic Center,Gonzaga University,Spokane,WA,West Coast,6000,2004,32,5,17,1,83.5,67.7,18.43,2.59,1,16,96000,6000,5705
